  int2:  dp =  -0.02, dl =   0.00, dh =  -0.02,  ACCEPT!
 split:  dp =   2.79, dl =   0.00, dh =   2.79,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys4:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
  int2:  dp =  -0.07, dl =   0.00, dh =  -0.07,  ACCEPT!
  int1:  dp =  -0.08, dl =  -0.00, dh =  -0.08,  ACCEPT!
 phys1:  dp =  -1.03, dl =  -1.03, dh =  -0.00,  ACCEPT!
 merge:  dp =   1.33, dl =   0.11, dh =   1.22,  ACCEPT!
  int1:  dp =   0.00, dl =   0.00, dh =   0.00,  ACCEPT!
  int2:  dp =   0.02, dl =  -0.00, dh =   0.02,  ACCEPT!
 split:  dp =  -0.44, dl =   0.00, dh =  -0.44,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
  int1:  dp =  -0.03, dl =  -0.01, dh =  -0.02,  ACCEPT!
  int2:  dp =  -0.01, dl =  -0.00, dh =  -0.01,  ACCEPT!
 merge:  dp =   2.15, dl =  -0.02, dh =   2.17,  reject!
 phys1:  dp =  -0.04, dl =  -0.04, dh =  -0.00,  ACCEPT!
  int1:  dp =   0.07, dl =  -0.00, dh =   0.07,  ACCEPT!
 merge:  dp =   1.49, dl =  -0.13, dh =   1.62,  reject!
 merge:  dp =  -0.70, dl =  -0.00, dh =  -0.70,  ACCEPT!
 merge:  dp =   0.29, dl =  -0.00, dh =   0.29,  reject!
 phys4:  dp =  -0.11, dl =  -0.11, dh =  -0.00,  ACCEPT!
  int1:  dp =   0.03, dl =  -0.01, dh =   0.03,  ACCEPT!
  int2:  dp =  -0.01, dl =   0.00, dh =  -0.01,  ACCEPT!
 phys4:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.40, dl =   0.00, dh =   0.40,  ACCEPT!
 split:  dp =   0.96, dl =   0.17, dh =   0.79,  ACCEPT!
 merge:  dp =  -2.20, dl =  -1.38, dh =  -0.81,  ACCEPT!
  int2:  dp =   0.37, dl =  -0.00, dh =   0.37,  ACCEPT!
 phys4:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
  int1:  dp =  -0.09, dl =   0.00, dh =  -0.09,  ACCEPT!
  int2:  dp =  -0.09, dl =   0.00, dh =  -0.09,  ACCEPT!
 phys4:  dp =   1.08, dl =   1.08, dh =  -0.00,  reject!
 phys4:  dp =   3.88, dl =   3.88, dh =  -0.00,  reject!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
  int1:  dp =  -0.36, dl =   0.00, dh =  -0.36,  ACCEPT!
  int1:  dp =  -0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys4:  dp =   2.81, dl =   2.81, dh =  -0.00,  reject!
