layers, nll
9, 247.254744
9, 247.254744
8, 247.254744
8, 247.258171
8, 247.258171
8, 247.258171
8, 247.322505
8, 247.322505
8, 247.322505
9, 243.582085
9, 243.582085
9, 252.314894
9, 252.314894
9, 252.314894
9, 252.314894
8, 187.106036
9, 187.108027
9, 186.719473
9, 186.689985
9, 186.689985
10, 186.278933
10, 186.146388
10, 186.146388
9, 185.630980
9, 183.072999
8, 264.938770
8, 265.473066
8, 265.495621
8, 265.495621
8, 264.052656
8, 264.052656
8, 263.996165
8, 251.606153
7, 258.066786
7, 256.727426
8, 261.028781
8, 260.195024
8, 258.770206
8, 258.770206
8, 258.770206
8, 259.808624
8, 259.808624
8, 259.857710
8, 259.885112
8, 259.885112
8, 258.533893
8, 258.860408
7, 294.439893
7, 294.439893
7, 294.439893
7, 294.439893
7, 286.088301
7, 286.088301
7, 286.082821
7, 286.087085
7, 286.087085
7, 140.459018
7, 89.491300
7, 84.461324
7, 84.461324
7, 84.441228
7, 84.441228
7, 84.416962
7, 84.554261
7, 84.554261
7, 84.570383
8, 85.657956
9, 85.853855
9, 82.852474
9, 82.852637
9, 83.112255
9, 83.112255
9, 83.112255
9, 83.019797
9, 83.019491
9, 86.344074
9, 88.945363
9, 88.945363
10, 88.945363
10, 82.149601
10, 82.149601
10, 81.603646
10, 81.542136
10, 81.604494
9, 81.584496
8, 81.542919
8, 81.542919
7, 82.127630
7, 82.127491
